Movie,Rotten_Tomatoes_Score,Audience_Review_Score,Year,BOS_Worldwide,BOS_Domestic,BOS_International,Marvel_DC,Production_Budget,ROI
Thor: Ragnarok,92,88,2017,849929707,314334584,535595123,Marvel,180000000,3.721831706
Spider-Man: Homecoming,92,88,2017,880166924,334201140,545965784,Marvel,175000000,4.02952528
Guardian of the Galaxy Vol. 2,83,88,2017,863756051,389813101,473942950,Marvel,200000000,3.318780255
Doctor Strange,90,86,2016,677718395,232641920,445076475,Marvel,165000000,3.107384212
Captain America: Civil War,91,89,2016,1153304495,408084349,745220146,Marvel,250000000,3.61321798
Ant-Man,82,86,2015,519311965,180202163,339109802,Marvel,130000000,2.994707423
Avengers: Age of Ulton,75,83,2015,1405403694,459005868,946397826,Marvel,250000000,4.621614776
Guardian of the Galaxy Vol. 1,91,92,2014,773328629,333176600,440152029,Marvel,170000000,3.548991935
Captain America: The Winter Soldier,89,92,2014,714264267,259766572,454497695,Marvel,170000000,3.201554512
Thor: The Dark World,66,77,2013,644571402,206362140,438209262,Marvel,180000000,2.580952233
Iron Man 3,80,78,2013,1214811252,409013994,805797258,Marvel,200000000,5.07405626
Marvel's The Avengers,92,91,2012,1518812988,623357910,895455078,Marvel,220000000,5.9036954
Captain America: The First Avenger,80,74,2011,370569774,176654505,193915269,Marvel,140000000,1.646926957
Thor,77,76,2011,449326618,181030624,268295994,Marvel,150000000,1.995510787
Iron Man 2,73,72,2010,623933331,312433331,311500000,Marvel,200000000,2.119666655
The Incredible Hulk,67,71,2008,263427551,134806913,128620638,Marvel,150000000,0.756183673
Iron Man ,94,91,2008,585174222,318412101,266762121,Marvel,140000000,3.179815871
Justice League,40,77,2017,656574516,228574516,428000000,DC,300000000,1.18858172
Wonder Woman,92,88,2017,821847012,412563408,409283604,DC,149000000,4.515751758
Suicide Squad,26,60,2016,746846894,325100054,421746840,DC,175000000,3.267696537
Batman v Superman: Dawn of Justice,27,63,2016,873634919,330360194,543274725,DC,250000000,2.494539676
Man of Steel,55,75,2013,668045518,291045518,377000000,DC,225000000,1.969091191
X-Men: Apocalypse,48,66,2016,543934787,155442489,388492298,Marvel,178000000,2.05581341
Deadpool,83,90,2016,783112979,363070709,420042270,Marvel,58000000,12.50194791
X-Men Origins: Wolverine,38,58,2009,373062864,179883157,193179707,Marvel,150000000,1.48708576
The Woverine,69,69,2013,414828246,132556852,282271394,Marvel,120000000,2.45690205
Logan ,93,90,2017,616795600,226277068,390518532,Marvel,97000000,5.358717526
The Dark Night ,94,94,2008,1004558444,534858444,469700000,DC,185000000,4.430045643
The Dark Night Rises,87,90,2012,1084939099,448139099,636800000,DC,250000000,3.339756396
Batman Begins ,84,94,2005,374218673,206852432,167366241,DC,150000000,1.494791153
Spider-Man,89,67,2002,821708551,403706375,418002176,Marvel,139000000,4.911572309
Spider-Man 2,93,81,2004,783766341,373585825,410180516,Marvel,200000000,2.918831705
Spider-Man 3,63,51,2007,890871626,336530303,554341323,Marvel,258000000,2.452990798
The Amazing Spider Man 1,73,77,2012,757930663,262030663,495900000,Marvel,230000000,2.295350709
The Amazing Spider Man 2,52,64,2014,708982323,202853933,506128390,Marvel,200000000,2.544911615
X-Men: Days of Future Past,91,91,2014,747862775,233921534,513941241,Marvel,200000000,2.739313875
X-Men: The Last Stand,58,61,2006,459359555,234362462,224997093,Marvel,210000000,1.187426452
X2: X-Men United,85,85,2003,407711549,214949694,192761855,Marvel,110000000,2.706468627
X-Men: First Class,86,87,2011,353624124,146408305,207215819,Marvel,160000000,1.210150775
Fantastic Four (2015),9,18,2015,167977596,56117548,111860048,Marvel,120000000,0.3998133
Fantastic Four (2005),27,45,2005,330579719,154696080,175883639,Marvel,100000000,2.30579719
Daredevil,44,35,2003,179179718,102543518,76636200,Marvel,78000000,1.297175872
Kick-Ass,75,81,2010,96188903,48071303,48117600,Marvel,30000000,2.206296767
Kick-Ass 2,32,57,2013,60795985,28795985,32000000,Marvel,28000000,1.171285179
Catwoman,9,18,2004,82102379,40202379,41900000,DC,100000000,-0.17897621
Watchmen,64,71,2009,185258983,107509799,77749184,DC,130000000,0.4250691
Blade: Trinity,25,59,2004,128905366,52411906,76493460,Marvel,65000000,0.983159477
Blade II,57,68,2002,155010032,82348319,72661713,Marvel,54000000,1.870556148
The Punisher,29,63,2004,54700105,33810189,20889916,Marvel,33000000,0.657578939
Green Lantern ,26,45,2011,219851172,116601172,103250000,DC,200000000,0.09925586
League of Extraordinary Gentelemen ,17,44,2003,179265204,66465204,112800000,DC,78000000,1.298271846
Superman Returns,75,61,2006,391081192,200081192,191000000,DC,270000000,0.448448859
Hulk,62,29,2003,245360480,132177234,113183246,Marvel,137000000,0.790952409
Ghost Rider,26,47,2007,228738393,115802596,112935797,Marvel,110000000,1.079439936
V for Vendetta,73,90,2006,132511035,70511035,62000000,DC,54000000,1.453908056
Ghost Rider: Spirit of Vengeance,17,32,2012,132563930,51774002,80789928,Marvel,57000000,1.325682982
The Spirit,14,25,2008,39031337,19806188,19225149,DC,60000000,-0.349477717
Jonah Hex,12,20,2010,10903312,10547117,356195,DC,47000000,-0.768014638
Punisher: War Zone,27,42,2008,10100036,8050977,2049059,Marvel,35000000,-0.711427543
Fantastic Four: Rise of Silver Surfer,37,51,2007,289047763,131921738,157126025,Marvel,130000000,1.223444331
The Losers ,48,53,2010,29379723,23591432,5788291,DC,25000000,0.17518892
